,location,latitude,longitude,driving duration,driving distance,geoDistance
108,Marian University,43.7774111,-88.41412789035714,68456.4,1718296.9,15914.054875366299 km
109,University of Illinois at Urbana-Champaign,40.09911835,-88.23851575614376,62815.7,1608109.4,15528.57451113401 km
110,University of Illinois at Urbana-Champaign,40.09911835,-88.23851575614376,62815.7,1608109.4,15528.57451113401 km
111,State University of New York at Albany,42.6840271,-73.82587727551194,7478.6,168258.6,15335.009146558168 km
112,University of Minnesota,48.3785292,-92.83111715445486,96729.1,2330157.5,16518.48681413217 km
113,University of Virginia,38.0410576,-78.50549960183568,36599.6,820007.2,15011.846250497088 km
114,Universidad del NorteBarranquilla,,,,,
115,Brown University,41.8186395,-71.4088008716793,6893.1,144288.0,15166.832609151292 km
116,Northeastern University,42.3390301,-71.08791294953176,7165.6,149340.9,15209.086149159402 km
117,Johns Hopkins University,39.33020225,-76.62185357858337,25075.0,575429.6,15083.840555435467 km
118,University of CaliforniaLos Angeles,,,,,
119,University of California Santa Barbara,34.414602450000004,-119.84581004701371,175936.5,4849085.2,15641.385831204603 km
120,CUNY,40.748518849999996,-73.98363927431237,12883.1,274998.1,15142.891608454178 km
121,Union College,42.8175752,-73.92839165453219,8094.6,187926.4,15351.970844121308 km
122,Harvard,42.36790855,-71.12678237443698,7089.9,147479.6,15213.314277533374 km
123,Caltech,34.13701375,-118.1252882487961,169253.5,4674521.5,15587.051269236566 km
124,Universite de Montreal,33.79320735,-84.23284305867932,66681.7,1669462.4,14749.268394875457 km
125,Boston College,42.3354481,-71.16813864023061,7084.4,144322.4,15211.392149233612 km
126,Massachusetts Institute of Technology,42.3582529,-71.0966272383055,7173.3,148668.7,15211.329502755061 km
127,Harvard University,42.36790855,-71.12678237443698,7089.9,147479.6,15213.314277533374 km
128,University of Massachusetts Boston,42.314068,-71.03871320767618,7614.0,156206.7,15204.911882967981 km
129,Boston University,42.350189400000005,-71.10070118497421,7213.1,149812.2,15210.645746475566 km
130,Dartmouth College,43.70526735,-72.29052293092106,7126.3,170599.0,15387.65593258199 km
131,Lehigh University,40.6068028,-75.3782488,18337.0,409330.3,15174.224196561863 km
132,The Pennsylvania State University,40.800484350000005,-77.86566145944843,26023.0,649979.7,15275.197257968746 km
